Accession	Sample Name	Organism	Tax ID	Strain	Breed	Cultivar	Isolate	BioProject id
SAMN05867912	Pcinereus_LSUMZ15568	Plethodon cinereus	141976	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867913	Pcinereus_LSUMZ15569	Plethodon cinereus	141976	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867914	Pserratus_BDT041	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867915	Pserratus_BDT042	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867916	Pserratus_BDT044	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867917	Pserratus_BDT051	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867918	Pserratus_BDT054	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867919	Pserratus_BDT057	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867920	Pserratus_BDT058	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867921	Pserratus_BDT060	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867922	Pserratus_BDT062	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867923	Pserratus_BDT063	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867924	Pserratus_BDT064	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867925	Pserratus_BDT075	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867926	Pserratus_BDT076	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867927	Pserratus_BDT077	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867928	Pserratus_BDT078	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867929	Pserratus_BDT079	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867930	Pserratus_BDT080	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867931	Pserratus_BDT081	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867932	Pserratus_BDT082	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867933	Pserratus_BDT083	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867934	Pserratus_BDT084	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867935	Pserratus_BDT085	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867936	Pserratus_BDT087	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867937	Pserratus_BDT089	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867938	Pserratus_BDT092	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867939	Pserratus_BDT093	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867940	Pserratus_BDT094	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867941	Pserratus_BDT095	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867942	Pserratus_BDT098	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867943	Pserratus_BDT100	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867944	Pserratus_BDT101	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867945	Pserratus_BDT103	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867946	Pserratus_BDT109	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867947	Pserratus_BDT111	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867948	Pserratus_BDT113	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867949	Pserratus_BDT114	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867950	Pserratus_BDT118	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867951	Pserratus_BDT121	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867952	Pserratus_BDT123	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
