bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4
PRJNA345492	SAMN05867912	Pcinereus_LSUMZ15568	UCE target enrichment of Pcinereus_LSUMZ15568: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_90_SL107542.fastq	C6RLYANXX_s6_2_RapidGenomics_90_SL107542.fastq		
PRJNA345492	SAMN05867913	Pcinereus_LSUMZ15569	UCE target enrichment of Pcinereus_LSUMZ15569: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_1_SL107453.fastq	C6RLYANXX_s6_2_RapidGenomics_1_SL107453.fastq		
PRJNA345492	SAMN05867914	Pserratus_BDT041	UCE target enrichment of Pserratus_BDT041: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_26_SL107478.fastq	C6RLYANXX_s6_2_RapidGenomics_26_SL107478.fastq		
PRJNA345492	SAMN05867915	Pserratus_BDT042	UCE target enrichment of Pserratus_BDT042: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_65_SL107517.fastq	C6RLYANXX_s6_2_RapidGenomics_65_SL107517.fastq		
PRJNA345492	SAMN05867916	Pserratus_BDT044	UCE target enrichment of Pserratus_BDT044: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_51_SL107503.fastq	C6RLYANXX_s6_2_RapidGenomics_51_SL107503.fastq		
PRJNA345492	SAMN05867917	Pserratus_BDT051	UCE target enrichment of Pserratus_BDT051: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_59_SL107511.fastq	C6RLYANXX_s6_2_RapidGenomics_59_SL107511.fastq		
PRJNA345492	SAMN05867918	Pserratus_BDT054	UCE target enrichment of Pserratus_BDT054: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_27_SL107479.fastq	C6RLYANXX_s6_2_RapidGenomics_27_SL107479.fastq		
PRJNA345492	SAMN05867919	Pserratus_BDT057	UCE target enrichment of Pserratus_BDT057: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_48_SL107500.fastq	C6RLYANXX_s6_2_RapidGenomics_48_SL107500.fastq		
PRJNA345492	SAMN05867920	Pserratus_BDT058	UCE target enrichment of Pserratus_BDT058: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_66_SL107518.fastq	C6RLYANXX_s6_2_RapidGenomics_66_SL107518.fastq		
PRJNA345492	SAMN05867921	Pserratus_BDT060	UCE target enrichment of Pserratus_BDT060: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_84_SL107536.fastq	C6RLYANXX_s6_2_RapidGenomics_84_SL107536.fastq		
